OBJECTID,RT_NAME,RT_TYPE,RT_STS,RT_NMBR,SHAPE_Length
1,Vredehoek - Gardens - Civic Centre (clockwise),Feeder Route,Active,101,6441.56580037536
2,Vredehoek - Gardens - Civic Centre (clockwise),Feeder Route,Active,101,5037.22482457359
3,Salt River Rail - Walmer Estate - Civic Centre,Feeder Route,Active,102,8043.37594147358
4,Salt River Rail - Walmer Estate - Civic Centre,Feeder Route,Active,102,8844.82425218148
5,Oranjezicht - Gardens - Civic Centre,Feeder Route,Active,103,6626.6235026928
6,Oranjezicht - Gardens - Civic Centre,Feeder Route,Active,103,5969.20549132417
7,Sea Point - Waterfront - Civic Centre,Feeder Route,Active,104,11926.6945186421
8,Sea Point - Waterfront - Civic Centre,Feeder Route,Active,104,12259.6533349227
9,Sea Point - Fresnaye - Civic Centre,Feeder Route,Active,105,8096.28381945143
10,Sea Point - Fresnaye - Civic Centre,Feeder Route,Active,105,7992.8920003984
11,Camps Bay (clockwise) - Civic Centre,Feeder Route,Active,106,9685.174588997
12,Camps Bay (clockwise) - Civic Centre,Feeder Route,Active,106,12934.9929155637
13,Camps Bay (anticlockwise) -  Civic Centre,Feeder Route,Active,107,11306.5836004225
